qualite_enseignement,charge_travail,interactivite,type_cours,niveau_etudiant,satisfaction
4,6,4,présentiel,L3,0
4,5,4,présentiel,L1,0
4,7,3,distanciel,L3,0
5,6,6,présentiel,L1,1
3,5,3,présentiel,L2,0
4,6,3,distanciel,L1,0
4,4,3,présentiel,L1,1
5,5,5,distanciel,L1,1
7,4,6,présentiel,L1,1
2,6,2,présentiel,L2,0
4,3,5,présentiel,L1,1
5,3,5,hybride,L1,1
4,3,5,présentiel,L1,1
4,7,3,présentiel,L1,0
6,7,7,distanciel,L2,1
4,3,4,distanciel,L1,0
4,7,3,présentiel,L3,0
5,6,6,présentiel,L1,1
6,4,5,distanciel,L3,1
7,7,6,distanciel,L2,1
5,5,4,hybride,L1,1
2,3,4,présentiel,L1,0
4,7,3,hybride,L3,0
5,7,5,distanciel,L3,0
5,5,5,présentiel,L1,1
4,6,4,hybride,L2,0
6,5,4,distanciel,L3,1
5,3,5,présentiel,L2,1
4,3,4,distanciel,L1,1
4,5,4,présentiel,L2,0
3,3,3,hybride,L1,0
4,7,4,présentiel,L2,0
4,3,4,distanciel,L1,1
7,7,7,hybride,L1,1
6,3,7,distanciel,L2,1
4,2,3,présentiel,L2,0
5,3,7,présentiel,L2,1
6,7,7,présentiel,L1,1
5,5,3,présentiel,L2,1
4,2,3,présentiel,L2,0
4,6,5,distanciel,L1,0
6,4,6,présentiel,L3,1
3,7,3,présentiel,L2,0
6,4,7,distanciel,L3,1
5,4,5,distanciel,L3,1
3,3,3,hybride,L2,0
4,4,4,hybride,L2,0
5,6,5,distanciel,L2,0
4,4,3,hybride,L2,0
3,7,4,présentiel,L3,0
4,6,3,présentiel,L1,0
6,4,6,hybride,L1,1
4,3,4,présentiel,L2,0
4,7,4,hybride,L1,0
5,7,5,distanciel,L1,0
6,3,6,présentiel,L3,1
5,4,5,distanciel,L1,1
3,7,3,présentiel,L3,0
6,4,5,distanciel,L2,1
5,4,5,hybride,L3,1
5,2,5,présentiel,L1,1
4,4,3,hybride,L1,0
4,2,3,distanciel,L2,0
4,4,4,présentiel,L2,1
3,6,3,présentiel,L2,0
7,3,6,présentiel,L2,1
5,6,4,distanciel,L2,0
3,4,4,présentiel,L3,0
3,5,3,présentiel,L3,0
5,7,4,présentiel,L3,0
4,5,3,présentiel,L2,0
3,3,2,présentiel,L3,0
6,5,7,présentiel,L1,1
6,5,5,hybride,L2,1
7,3,5,distanciel,L2,1
6,7,7,distanciel,L1,1
5,2,5,hybride,L2,1
7,5,6,présentiel,L2,1
2,3,2,présentiel,L2,0
4,7,4,présentiel,L3,0
4,5,3,présentiel,L3,1
4,3,3,présentiel,L3,0
6,4,7,hybride,L1,1
5,7,6,présentiel,L2,0
4,4,5,présentiel,L1,1
5,7,4,présentiel,L2,0
5,6,5,hybride,L1,0
5,4,5,présentiel,L2,1
5,7,6,distanciel,L2,0
6,3,7,distanciel,L3,1
4,7,2,distanciel,L2,0
4,4,3,présentiel,L1,1
4,7,3,présentiel,L1,0
6,4,5,présentiel,L2,1
3,4,3,présentiel,L1,0
4,7,4,hybride,L1,0
5,7,5,hybride,L1,0
5,3,4,présentiel,L2,1
5,7,5,présentiel,L1,0
4,6,2,présentiel,L2,0
7,7,7,distanciel,L1,1
4,3,6,hybride,L3,1
7,5,7,présentiel,L3,1
4,4,5,présentiel,L1,1
4,2,4,distanciel,L3,0
5,6,5,hybride,L1,1
4,7,4,distanciel,L3,0
4,7,5,présentiel,L1,0
4,3,3,présentiel,L3,0
5,6,6,présentiel,L3,1
6,5,7,présentiel,L2,1
4,4,3,présentiel,L3,1
5,4,5,distanciel,L2,1
4,3,3,hybride,L2,0
5,4,4,hybride,L2,1
3,5,1,distanciel,L1,0
5,6,6,distanciel,L2,1
4,2,4,présentiel,L2,0
5,3,6,hybride,L1,1
3,4,2,présentiel,L3,0
4,7,4,présentiel,L3,0
4,4,2,distanciel,L1,0
4,5,4,hybride,L2,0
4,7,5,présentiel,L3,0
5,4,4,présentiel,L1,1
6,5,6,distanciel,L2,1
5,7,6,présentiel,L2,0
6,7,5,présentiel,L3,0
3,5,1,présentiel,L1,0
3,4,1,distanciel,L1,0
4,5,6,distanciel,L3,1
5,6,6,présentiel,L1,1
4,5,2,présentiel,L1,0
5,5,5,présentiel,L1,1
4,3,3,distanciel,L2,0
5,3,4,présentiel,L2,1
6,4,6,présentiel,L2,1
3,6,3,hybride,L2,0
4,6,4,présentiel,L2,0
4,7,4,présentiel,L1,0
3,5,3,hybride,L1,0
5,3,7,distanciel,L3,1
4,6,4,distanciel,L1,0
4,3,5,présentiel,L2,1
6,4,7,distanciel,L1,1
4,5,4,présentiel,L2,0
5,3,4,hybride,L1,1
6,4,7,hybride,L2,1
4,3,4,distanciel,L1,0
3,6,3,distanciel,L2,0
7,7,6,hybride,L3,1
6,7,6,présentiel,L2,1
3,5,3,présentiel,L3,0
5,5,5,distanciel,L3,1
5,7,5,présentiel,L1,1
4,5,3,présentiel,L1,0
4,6,5,présentiel,L1,1
3,6,3,hybride,L3,0
2,5,1,distanciel,L1,0
6,3,7,distanciel,L3,1
3,5,1,hybride,L2,0
7,6,7,hybride,L1,1
5,3,4,hybride,L2,1
7,6,7,présentiel,L3,1
6,5,6,distanciel,L3,1
5,3,5,hybride,L1,1
6,4,5,présentiel,L1,1
4,6,5,distanciel,L2,0
4,3,3,distanciel,L1,0
6,2,6,présentiel,L1,1
4,7,5,présentiel,L2,0
5,3,4,hybride,L1,0
5,3,6,présentiel,L1,1
4,3,4,présentiel,L2,0
5,5,5,distanciel,L2,0
5,3,6,distanciel,L1,1
3,5,3,distanciel,L2,0
4,6,3,hybride,L1,0
5,4,4,hybride,L2,1
3,7,5,présentiel,L2,0
5,3,4,présentiel,L2,1
6,5,5,hybride,L3,1
5,6,6,présentiel,L1,1
4,7,5,présentiel,L3,0
5,3,7,distanciel,L2,1
4,7,4,présentiel,L1,0
5,4,6,distanciel,L2,1
5,4,5,présentiel,L2,1
5,5,4,présentiel,L1,1
6,3,5,distanciel,L1,1
3,5,4,présentiel,L1,0
7,4,7,hybride,L3,1
6,5,5,présentiel,L2,1
4,7,5,présentiel,L1,0
5,4,4,présentiel,L2,1
4,7,5,présentiel,L2,0
6,3,6,hybride,L2,1
5,5,4,présentiel,L2,1
3,5,3,présentiel,L1,1
3,7,4,présentiel,L2,0
5,5,5,présentiel,L3,1
4,4,3,hybride,L3,0
6,5,6,distanciel,L1,1
4,6,2,présentiel,L1,0
4,4,6,distanciel,L1,1
3,4,3,distanciel,L2,0
5,6,6,présentiel,L2,1
5,4,5,distanciel,L3,1
6,5,7,distanciel,L1,1
4,3,3,présentiel,L1,0
4,5,3,distanciel,L1,0
6,7,5,présentiel,L3,0
6,3,5,présentiel,L2,1
3,6,3,présentiel,L1,0
6,4,6,présentiel,L3,1
3,4,3,hybride,L3,0
4,6,4,présentiel,L1,0
5,4,4,présentiel,L3,1
5,6,4,distanciel,L2,0
6,7,7,distanciel,L2,1
4,4,3,hybride,L3,0
2,7,3,présentiel,L2,0
6,4,7,présentiel,L2,1
6,4,5,distanciel,L1,1
7,6,7,présentiel,L3,1
6,6,6,présentiel,L2,1
4,6,3,distanciel,L2,0
4,4,4,distanciel,L3,1
5,4,5,présentiel,L2,1
4,6,4,présentiel,L3,0
4,5,4,présentiel,L1,1
3,4,3,présentiel,L3,0
4,7,3,présentiel,L1,0
3,5,3,hybride,L1,0
4,4,2,hybride,L1,0
7,3,7,présentiel,L1,1
4,2,3,distanciel,L2,0
5,2,5,hybride,L3,0
4,4,6,présentiel,L3,1
4,3,2,distanciel,L1,0
3,7,3,présentiel,L2,0
3,3,3,présentiel,L1,0
4,4,4,distanciel,L1,1
4,4,3,hybride,L3,0
3,3,2,présentiel,L1,0
6,5,5,présentiel,L1,1
4,3,3,présentiel,L2,0
5,4,3,hybride,L3,1
4,3,3,distanciel,L3,0
7,7,5,présentiel,L1,1
4,3,4,présentiel,L1,0
6,5,6,présentiel,L2,1
5,4,4,hybride,L2,1
5,4,5,distanciel,L3,1
3,7,2,hybride,L3,0
6,3,7,présentiel,L1,1
6,6,6,présentiel,L1,1
3,4,3,présentiel,L2,0
6,6,7,hybride,L3,1
5,2,4,hybride,L3,0
6,3,5,présentiel,L2,1
5,4,7,distanciel,L2,1
6,7,6,hybride,L3,1
7,4,7,présentiel,L3,1
4,3,4,hybride,L1,1
5,5,4,présentiel,L2,1
5,2,5,présentiel,L2,0
3,3,3,présentiel,L3,0
4,3,5,présentiel,L1,1
4,7,3,présentiel,L3,0
4,4,5,hybride,L2,1
5,3,3,distanciel,L3,0
5,3,5,distanciel,L3,1
5,2,6,hybride,L3,0
6,4,6,présentiel,L2,1
5,4,4,hybride,L1,1
4,7,4,présentiel,L2,0
5,7,4,présentiel,L2,0
4,5,4,présentiel,L3,0
3,5,3,présentiel,L2,0
2,4,2,présentiel,L3,0
5,7,4,hybride,L3,0
4,4,4,distanciel,L1,0
5,2,5,présentiel,L1,1
4,4,3,distanciel,L2,0
4,4,4,présentiel,L1,1
4,4,4,présentiel,L3,1
4,7,2,présentiel,L1,0
6,6,6,présentiel,L2,1
5,3,4,hybride,L1,0
4,3,5,présentiel,L2,0
3,5,2,hybride,L3,0
4,3,3,distanciel,L1,0
4,6,3,présentiel,L3,0
5,3,5,distanciel,L3,1
5,4,4,présentiel,L2,1
4,7,5,hybride,L1,0
4,2,3,distanciel,L3,0
5,5,6,hybride,L1,1
4,6,3,présentiel,L1,0
6,7,7,distanciel,L2,0
4,6,3,présentiel,L2,0
5,5,6,distanciel,L1,1
4,2,4,présentiel,L1,0
4,2,5,présentiel,L2,0
6,7,6,présentiel,L2,1
4,4,3,présentiel,L2,1
5,7,6,hybride,L1,1
3,7,4,distanciel,L1,0
7,4,6,hybride,L3,1
5,3,6,présentiel,L1,1
6,5,7,distanciel,L2,1
3,3,4,présentiel,L1,0
4,4,5,présentiel,L2,1
3,5,4,distanciel,L2,0
6,4,7,distanciel,L1,1
7,4,6,hybride,L1,1
7,3,6,présentiel,L2,1
3,7,3,présentiel,L2,0
3,6,2,distanciel,L2,0
6,3,5,distanciel,L1,1
4,6,4,distanciel,L1,0
4,6,5,présentiel,L2,0
4,4,4,présentiel,L2,1
3,2,1,présentiel,L2,0
5,7,5,présentiel,L1,0
4,6,3,présentiel,L2,0
6,2,6,présentiel,L1,1
6,3,6,présentiel,L2,1
4,7,4,présentiel,L2,0
5,5,6,hybride,L3,1
5,4,4,distanciel,L3,1
4,3,6,distanciel,L1,1
5,4,4,présentiel,L1,1
5,2,5,distanciel,L3,1
6,7,7,distanciel,L1,1
7,6,7,présentiel,L2,1
4,4,4,présentiel,L1,1
2,4,1,présentiel,L2,0
7,7,7,présentiel,L1,1
5,6,5,présentiel,L1,1
3,5,2,présentiel,L2,0
6,4,7,présentiel,L1,1
5,3,5,présentiel,L1,1
5,6,5,hybride,L1,1
3,6,2,présentiel,L1,0
5,6,5,distanciel,L2,0
6,5,6,distanciel,L1,1
6,6,4,présentiel,L2,0
3,7,3,présentiel,L1,0
6,4,7,distanciel,L1,1
6,2,5,distanciel,L3,1
5,3,6,présentiel,L2,1
2,4,2,distanciel,L1,0
5,4,5,distanciel,L2,1
5,4,3,hybride,L2,1
5,4,6,hybride,L2,1
4,3,3,distanciel,L2,0
7,5,6,présentiel,L2,1
6,4,7,distanciel,L2,1
3,5,4,présentiel,L1,0
5,3,6,distanciel,L1,1
3,5,3,présentiel,L3,0
5,4,6,distanciel,L2,1
3,2,3,distanciel,L2,0
4,3,3,hybride,L1,0
5,4,5,présentiel,L1,1
4,4,3,hybride,L3,0
5,5,5,distanciel,L3,1
3,7,4,présentiel,L1,0
5,7,5,hybride,L3,0
5,5,5,distanciel,L1,1
4,5,4,hybride,L1,0
5,3,5,présentiel,L2,1
6,6,6,hybride,L2,1
3,5,4,présentiel,L3,0
6,3,7,présentiel,L3,1
3,5,3,présentiel,L1,0
5,7,3,présentiel,L1,0
5,3,4,distanciel,L1,1
5,3,6,distanciel,L2,0
6,4,4,présentiel,L1,1
4,3,3,présentiel,L2,0
4,5,5,présentiel,L2,0
4,7,4,présentiel,L2,0
6,4,6,présentiel,L3,1
4,5,5,présentiel,L2,1
3,4,3,présentiel,L1,1
4,2,3,présentiel,L3,0
4,3,5,présentiel,L1,1
3,6,2,distanciel,L1,0
5,3,5,présentiel,L3,1
5,5,5,hybride,L3,1
4,3,3,présentiel,L1,0
3,5,3,distanciel,L2,0
5,4,4,présentiel,L1,1
4,4,4,présentiel,L3,1
6,7,5,présentiel,L3,0
6,4,6,distanciel,L1,1
5,4,4,présentiel,L1,1
6,7,5,hybride,L1,1
6,4,6,présentiel,L2,1
4,3,4,présentiel,L1,1
4,3,4,hybride,L1,0
5,5,6,présentiel,L1,1
4,7,5,hybride,L2,0
6,3,6,hybride,L2,1
5,4,5,hybride,L2,1
5,3,6,présentiel,L3,1
5,6,6,présentiel,L1,1
7,7,6,distanciel,L1,1
5,3,6,présentiel,L1,1
4,7,4,distanciel,L1,0
3,6,3,distanciel,L1,0
5,7,6,distanciel,L1,1
4,7,4,présentiel,L2,0
4,6,5,présentiel,L1,1
5,3,7,présentiel,L1,1
6,3,6,distanciel,L3,1
2,4,2,distanciel,L2,0
4,5,3,hybride,L3,0
3,7,3,présentiel,L2,0
5,6,3,présentiel,L2,0
4,5,6,hybride,L3,1
2,4,2,distanciel,L2,0
4,6,4,présentiel,L2,0
4,3,3,distanciel,L1,0
5,4,5,présentiel,L2,1
4,7,6,présentiel,L1,0
4,6,5,distanciel,L2,0
4,3,3,présentiel,L2,0
5,5,4,hybride,L2,0
5,2,6,distanciel,L3,0
5,5,6,hybride,L2,1
5,3,5,hybride,L3,1
6,3,7,présentiel,L2,1
4,4,3,présentiel,L1,1
4,2,6,présentiel,L2,1
5,3,5,présentiel,L3,1
6,5,6,distanciel,L3,1
5,3,5,présentiel,L3,1
6,5,6,présentiel,L3,1
3,7,2,présentiel,L2,0
2,3,2,présentiel,L2,0
6,3,7,présentiel,L1,1
6,4,6,présentiel,L2,1
5,5,6,présentiel,L2,1
4,5,4,présentiel,L1,0
6,5,6,distanciel,L1,1
5,2,5,présentiel,L1,1
4,7,4,présentiel,L1,0
5,5,5,hybride,L2,1
6,3,6,présentiel,L1,1
5,2,6,présentiel,L3,1
5,5,6,présentiel,L2,1
3,3,2,hybride,L1,0
5,3,5,présentiel,L1,1
4,4,5,présentiel,L2,1
5,2,3,hybride,L3,0
7,5,7,présentiel,L3,1
3,3,4,présentiel,L2,0
4,5,5,hybride,L1,1
5,5,4,hybride,L2,1
6,7,6,présentiel,L2,1
6,6,6,présentiel,L1,1
7,7,7,présentiel,L1,1
3,2,2,présentiel,L3,0
3,5,1,distanciel,L2,0
4,4,4,distanciel,L1,1
4,4,5,présentiel,L1,1
6,3,5,présentiel,L1,1
6,4,5,hybride,L3,1
4,4,5,présentiel,L3,1
5,7,5,présentiel,L2,0
4,7,4,présentiel,L3,0
4,7,2,présentiel,L2,0
5,6,5,présentiel,L2,1
6,5,4,présentiel,L1,1
4,3,3,présentiel,L1,0
3,4,3,hybride,L3,0
5,5,4,présentiel,L2,1
5,4,5,présentiel,L1,1
6,2,7,distanciel,L3,1
5,4,6,hybride,L2,1
5,5,6,distanciel,L1,1
5,6,5,hybride,L1,1
5,3,6,hybride,L3,1
4,7,4,présentiel,L1,0
3,5,1,présentiel,L1,0
4,2,4,distanciel,L2,0
3,5,2,distanciel,L3,0
4,3,5,hybride,L1,1
6,4,6,présentiel,L1,1
4,6,5,distanciel,L2,0
4,7,4,présentiel,L2,0
4,7,5,présentiel,L2,0
6,7,7,présentiel,L1,1
5,3,4,hybride,L2,1
6,7,6,distanciel,L3,1
6,5,5,distanciel,L1,1
3,4,3,présentiel,L1,0
5,3,6,distanciel,L2,1
4,3,5,présentiel,L1,0
5,5,5,présentiel,L2,1
5,5,5,présentiel,L1,1
3,5,3,distanciel,L1,0
3,5,5,distanciel,L1,0
4,7,4,hybride,L1,0
6,6,5,présentiel,L3,1
5,7,4,présentiel,L3,0
4,7,3,présentiel,L3,0
6,3,7,présentiel,L2,1
4,3,5,distanciel,L1,1
4,3,5,hybride,L2,0
5,3,5,présentiel,L3,1
4,7,3,hybride,L3,0
4,5,5,hybride,L2,1
6,3,6,présentiel,L1,1
5,4,6,distanciel,L2,1
6,7,7,présentiel,L1,1
4,7,3,présentiel,L3,0
4,4,4,présentiel,L1,1
4,4,6,hybride,L2,1
4,5,5,présentiel,L3,1
7,4,6,présentiel,L3,1
1,5,2,présentiel,L2,0
7,3,7,hybride,L1,1
5,7,6,présentiel,L1,1
7,6,6,présentiel,L3,1
6,5,5,distanciel,L1,1
5,6,4,distanciel,L2,0
5,4,5,hybride,L1,1
6,3,5,présentiel,L1,1
5,6,6,présentiel,L3,1
5,7,4,distanciel,L3,0
4,4,5,hybride,L3,1
5,4,6,présentiel,L3,1
6,5,7,hybride,L1,1
7,4,6,présentiel,L3,1
4,6,3,distanciel,L1,0
5,3,5,hybride,L3,1
5,4,6,présentiel,L2,1
4,4,5,distanciel,L1,1
6,6,5,présentiel,L2,1
6,3,6,distanciel,L3,1
3,5,4,présentiel,L3,0
4,4,5,présentiel,L1,1
4,3,5,présentiel,L1,1
4,4,2,présentiel,L2,0
5,4,5,présentiel,L1,1
4,3,5,présentiel,L3,1
2,3,3,hybride,L1,0
6,7,5,présentiel,L1,0
4,5,4,présentiel,L1,1
6,5,6,présentiel,L3,1
5,5,3,présentiel,L1,1
6,3,6,distanciel,L3,1
4,6,3,présentiel,L2,0
5,5,4,présentiel,L1,1
6,4,6,présentiel,L1,1
4,4,2,présentiel,L1,0
4,7,7,présentiel,L1,1
2,4,2,présentiel,L3,0
6,7,7,hybride,L2,1
4,6,4,distanciel,L2,0
5,3,4,présentiel,L2,1
3,3,4,présentiel,L1,0
4,7,5,présentiel,L1,0
5,3,6,hybride,L2,1
6,5,6,distanciel,L2,1
5,4,5,présentiel,L1,1
4,7,4,hybride,L1,0
5,7,6,hybride,L1,0
7,3,7,hybride,L1,1
5,6,6,distanciel,L3,1
5,3,5,hybride,L1,1
4,3,4,présentiel,L2,1
4,2,5,présentiel,L3,0
5,3,3,hybride,L2,1
7,5,7,présentiel,L1,1
4,3,5,distanciel,L2,0
3,3,3,présentiel,L1,0
5,7,4,présentiel,L1,0
5,4,5,hybride,L3,1
2,5,4,présentiel,L1,0
2,2,1,présentiel,L3,0
3,6,4,hybride,L2,0
4,4,4,distanciel,L2,0
5,4,3,distanciel,L3,0
4,3,2,distanciel,L3,0
5,3,5,hybride,L1,1
6,3,6,présentiel,L3,1
5,4,6,présentiel,L2,1
4,7,5,hybride,L2,0
5,3,6,présentiel,L1,1
5,6,5,présentiel,L2,1
2,3,1,présentiel,L1,0
5,6,5,présentiel,L1,1
6,5,6,hybride,L2,1
5,5,4,distanciel,L1,0
4,4,3,distanciel,L2,0
4,4,3,présentiel,L3,0
4,5,4,distanciel,L1,0
5,5,5,hybride,L2,1
4,4,3,hybride,L1,1
4,5,5,hybride,L1,1
4,6,4,distanciel,L1,0
4,5,2,présentiel,L2,0
5,4,3,distanciel,L1,0
3,3,3,distanciel,L2,0
3,4,1,hybride,L1,0
5,3,5,hybride,L3,1
4,3,4,présentiel,L1,1
4,3,5,distanciel,L1,0
4,5,4,distanciel,L1,0
5,6,6,hybride,L3,1
5,4,5,distanciel,L1,1
4,7,2,hybride,L2,0
7,3,7,présentiel,L2,1
5,3,5,distanciel,L3,1
6,4,6,hybride,L2,1
4,4,5,présentiel,L1,1
4,2,3,distanciel,L3,0
4,3,5,présentiel,L3,1
3,7,4,présentiel,L3,0
6,6,5,distanciel,L1,0
6,7,7,présentiel,L3,1
5,3,3,présentiel,L3,1
5,6,6,présentiel,L2,1
5,3,5,présentiel,L1,1
4,3,5,présentiel,L3,1
4,3,5,hybride,L1,1
6,5,6,présentiel,L3,1
3,2,2,présentiel,L2,0
5,3,6,présentiel,L3,1
5,3,5,distanciel,L1,1
2,4,1,présentiel,L1,0
5,7,2,hybride,L3,0
5,4,6,présentiel,L2,1
4,3,4,présentiel,L2,0
6,4,6,présentiel,L3,1
4,4,5,hybride,L2,1
7,6,5,présentiel,L2,1
5,5,5,hybride,L1,1
6,3,5,présentiel,L1,1
6,5,5,présentiel,L3,1
2,3,2,hybride,L2,0
5,7,4,présentiel,L1,0
4,3,5,présentiel,L3,1
3,6,3,présentiel,L2,0
4,6,3,présentiel,L3,0
6,4,6,présentiel,L1,1
3,6,3,hybride,L1,0
3,5,3,distanciel,L2,0
6,3,6,hybride,L2,1
4,4,2,hybride,L2,0
4,5,4,hybride,L1,0
6,4,6,présentiel,L2,1
6,6,6,hybride,L2,1
4,7,4,présentiel,L1,0
5,2,6,distanciel,L3,1
3,7,3,présentiel,L1,0
4,7,6,présentiel,L2,0
5,3,4,présentiel,L1,1
4,7,3,présentiel,L3,0
4,3,5,hybride,L3,1
6,4,5,présentiel,L1,1
6,7,7,hybride,L1,1
2,6,3,distanciel,L1,0
5,3,5,présentiel,L3,1
1,4,1,hybride,L3,0
5,6,6,distanciel,L1,1
4,3,4,distanciel,L1,0
5,7,7,distanciel,L1,1
6,4,7,distanciel,L2,1
4,5,3,distanciel,L3,0
5,4,5,distanciel,L3,1
4,5,5,présentiel,L2,1
5,3,5,présentiel,L2,1
