qualite_enseignement,charge_travail,interactivite,type_cours,niveau_etudiant,satisfaction
2,14,2,présentiel,L1,1
5,15,5,distanciel,L2,1
5,13,4,distanciel,L2,1
4,12,4,présentiel,L1,1
4,17,4,hybride,L1,1
2,15,3,présentiel,L3,1
2,16,1,présentiel,L2,1
2,14,1,présentiel,L1,1
4,22,5,distanciel,L2,0
3,17,3,présentiel,L1,1
5,14,5,présentiel,L1,1
3,16,5,hybride,L2,1
5,12,3,distanciel,L2,1
3,20,1,distanciel,L1,0
4,11,4,distanciel,L2,1
4,13,3,distanciel,L1,1
4,13,5,présentiel,L3,1
2,13,2,distanciel,L3,1
5,9,5,présentiel,L3,1
5,19,5,distanciel,L2,0
4,29,4,distanciel,L1,1
5,27,5,hybride,L2,1
4,12,4,hybride,L1,1
2,20,2,présentiel,L3,0
3,10,3,distanciel,L2,1
4,29,5,distanciel,L1,0
3,15,3,présentiel,L3,1
3,12,3,distanciel,L2,1
1,9,1,présentiel,L1,1
3,10,4,présentiel,L3,1
4,12,3,présentiel,L1,1
4,10,5,présentiel,L3,1
4,27,3,présentiel,L3,0
2,21,2,présentiel,L1,0
1,19,1,distanciel,L2,0
3,12,3,distanciel,L3,1
5,33,5,présentiel,L3,1
4,12,3,hybride,L1,1
4,31,5,présentiel,L1,1
5,27,5,hybride,L2,1
1,13,1,présentiel,L2,1
2,11,3,distanciel,L2,1
4,18,3,distanciel,L2,1
3,14,4,présentiel,L1,1
4,10,5,présentiel,L1,1
4,16,3,distanciel,L3,1
5,13,5,présentiel,L3,1
4,16,3,présentiel,L2,1
3,22,3,présentiel,L3,0
3,13,3,distanciel,L1,1
4,17,2,présentiel,L2,1
5,15,5,distanciel,L3,1
3,12,1,hybride,L3,1
5,27,5,présentiel,L2,0
2,9,1,présentiel,L3,1
3,14,4,présentiel,L3,1
5,9,5,présentiel,L1,1
5,25,5,présentiel,L3,0
3,35,4,présentiel,L3,0
3,16,3,distanciel,L1,1
2,20,1,présentiel,L1,0
4,15,5,distanciel,L3,1
2,9,2,distanciel,L2,1
4,22,5,distanciel,L1,0
2,12,2,hybride,L2,1
4,10,5,distanciel,L3,1
3,18,3,distanciel,L3,1
4,22,3,distanciel,L1,0
4,17,4,présentiel,L1,1
3,12,5,hybride,L2,1
3,19,4,présentiel,L2,0
5,19,5,distanciel,L2,1
3,12,2,distanciel,L2,1
5,17,5,hybride,L3,1
4,23,4,présentiel,L1,0
5,14,4,distanciel,L1,1
5,13,5,présentiel,L2,1
4,20,4,présentiel,L2,0
3,35,3,distanciel,L1,0
1,13,1,présentiel,L2,1
2,21,2,présentiel,L1,0
5,15,4,hybride,L3,1
5,15,5,distanciel,L2,1
4,12,4,présentiel,L3,1
3,18,4,distanciel,L3,1
4,18,3,présentiel,L1,1
3,21,4,présentiel,L2,0
5,28,5,hybride,L3,0
3,20,3,distanciel,L2,0
4,18,4,présentiel,L3,1
3,9,3,présentiel,L2,1
1,13,1,présentiel,L2,1
3,9,3,présentiel,L2,1
3,9,3,distanciel,L1,1
5,23,5,distanciel,L3,0
3,14,3,hybride,L1,1
2,14,2,présentiel,L1,1
4,21,2,distanciel,L1,0
4,16,3,hybride,L1,1
4,15,4,distanciel,L3,1
4,16,4,présentiel,L2,1
2,16,1,présentiel,L3,1
3,17,4,hybride,L2,1
2,18,3,présentiel,L3,1
2,10,1,présentiel,L2,1
2,27,3,distanciel,L2,0
5,13,5,présentiel,L2,1
5,25,5,distanciel,L3,0
4,14,4,distanciel,L1,1
2,16,3,distanciel,L3,0
2,14,2,présentiel,L2,1
4,17,4,présentiel,L2,1
4,18,4,présentiel,L2,1
5,13,4,distanciel,L1,1
3,23,3,distanciel,L2,0
4,12,4,présentiel,L2,1
5,34,5,distanciel,L3,0
4,11,5,distanciel,L3,1
4,27,3,présentiel,L1,0
3,15,3,hybride,L2,1
1,17,2,distanciel,L2,1
4,12,4,présentiel,L2,1
3,11,4,distanciel,L3,1
3,10,4,distanciel,L2,1
4,13,4,distanciel,L1,1
2,11,1,présentiel,L2,1
4,16,4,présentiel,L3,1
3,21,3,hybride,L3,0
3,10,3,présentiel,L3,1
4,15,5,distanciel,L1,1
4,13,3,présentiel,L1,1
4,14,4,distanciel,L2,1
3,18,2,présentiel,L1,1
5,15,5,présentiel,L1,1
3,16,2,distanciel,L3,1
5,21,4,présentiel,L1,1
5,12,4,hybride,L3,1
1,12,1,présentiel,L1,1
3,9,5,présentiel,L2,1
2,14,3,présentiel,L2,1
4,22,3,présentiel,L3,0
3,19,3,distanciel,L1,0
4,15,5,présentiel,L1,1
4,10,3,distanciel,L2,1
3,16,2,présentiel,L1,1
3,10,4,présentiel,L2,1
5,12,5,distanciel,L1,1
4,26,4,distanciel,L1,0
3,12,2,présentiel,L2,1
3,16,4,hybride,L3,1
3,23,3,distanciel,L2,0
2,17,1,présentiel,L2,1
4,35,5,présentiel,L2,1
4,24,5,distanciel,L1,1
2,24,2,distanciel,L3,0
4,23,4,présentiel,L3,0
2,13,1,hybride,L2,1
3,16,4,présentiel,L2,1
3,16,2,distanciel,L1,1
5,32,5,hybride,L1,1
5,22,4,distanciel,L2,0
3,12,2,présentiel,L2,1
4,30,3,présentiel,L2,0
5,30,5,présentiel,L1,1
4,16,5,hybride,L1,1
3,25,3,présentiel,L3,0
3,17,3,distanciel,L3,1
2,11,2,présentiel,L3,1
5,13,5,présentiel,L3,1
4,10,5,présentiel,L2,1
4,18,4,présentiel,L3,1
2,18,2,distanciel,L1,0
3,11,4,présentiel,L3,1
3,15,2,distanciel,L2,1
4,21,5,distanciel,L1,0
5,15,4,présentiel,L1,1
4,27,4,distanciel,L3,0
3,12,3,présentiel,L2,1
3,23,2,distanciel,L2,0
5,18,5,présentiel,L2,1
3,22,3,hybride,L1,0
3,12,2,présentiel,L2,1
4,25,4,distanciel,L2,0
2,13,3,distanciel,L3,1
4,13,4,distanciel,L3,1
3,9,1,distanciel,L3,1
2,12,2,présentiel,L2,1
4,23,5,distanciel,L3,0
2,16,3,présentiel,L1,1
3,18,4,distanciel,L2,1
2,12,3,hybride,L3,1
4,19,4,distanciel,L2,0
3,11,3,présentiel,L3,1
3,11,3,présentiel,L3,1
4,13,5,présentiel,L3,1
4,12,4,présentiel,L2,1
4,9,5,présentiel,L3,1
4,20,4,distanciel,L1,0
4,23,4,présentiel,L1,1
4,19,4,distanciel,L2,0
3,9,4,présentiel,L2,1
5,28,5,présentiel,L2,0
5,14,5,distanciel,L2,1
3,14,3,présentiel,L1,1
2,14,1,distanciel,L1,1
5,12,3,hybride,L2,1
4,11,4,hybride,L2,1
3,12,2,hybride,L3,1
2,20,2,distanciel,L1,0
3,9,3,distanciel,L1,1
3,12,4,présentiel,L2,1
4,19,4,hybride,L1,0
2,15,1,distanciel,L2,1
1,19,2,distanciel,L2,0
2,21,2,distanciel,L3,0
1,12,2,distanciel,L2,0
2,13,1,présentiel,L2,1
2,23,1,distanciel,L2,0
2,12,4,présentiel,L2,1
4,12,4,présentiel,L2,1
3,27,3,hybride,L2,0
2,10,1,distanciel,L2,1
4,18,3,présentiel,L1,1
2,11,1,distanciel,L1,1
5,11,5,distanciel,L2,1
3,10,5,présentiel,L3,1
4,17,4,distanciel,L1,1
3,10,4,distanciel,L2,1
2,12,2,distanciel,L2,0
5,13,5,présentiel,L1,1
3,22,3,distanciel,L2,0
5,13,4,présentiel,L2,1
3,20,3,présentiel,L3,0
4,19,5,distanciel,L3,0
4,22,3,présentiel,L2,0
3,12,1,présentiel,L2,1
4,21,4,présentiel,L1,0
5,12,5,présentiel,L2,1
4,10,3,distanciel,L1,1
4,21,5,présentiel,L2,1
4,11,4,distanciel,L1,1
3,20,2,distanciel,L1,0
3,22,2,présentiel,L3,0
2,22,1,hybride,L1,0
4,16,4,hybride,L1,1
3,31,4,présentiel,L1,0
5,23,4,présentiel,L3,1
3,15,3,présentiel,L2,1
3,10,4,hybride,L1,1
3,33,4,distanciel,L1,0
4,11,5,présentiel,L3,1
4,14,4,présentiel,L2,1
4,12,3,présentiel,L1,1
3,8,5,présentiel,L2,1
4,18,5,distanciel,L2,1
3,16,3,présentiel,L2,1
4,15,5,distanciel,L2,1
3,14,3,distanciel,L2,1
4,16,4,présentiel,L1,1
4,11,3,hybride,L2,1
5,11,5,présentiel,L2,1
4,18,3,présentiel,L3,1
2,16,2,présentiel,L3,1
5,9,4,présentiel,L3,1
3,18,3,présentiel,L2,1
3,16,3,distanciel,L1,1
5,14,5,présentiel,L2,1
3,26,2,présentiel,L3,0
3,16,3,distanciel,L1,1
3,9,2,présentiel,L3,1
1,21,1,présentiel,L2,0
3,12,3,présentiel,L1,1
3,19,2,distanciel,L2,0
3,21,3,distanciel,L2,0
2,15,2,hybride,L1,1
4,19,4,présentiel,L2,0
4,23,4,présentiel,L2,1
4,8,3,présentiel,L1,1
4,10,4,présentiel,L1,1
5,18,5,hybride,L3,1
3,25,3,distanciel,L3,0
4,12,5,présentiel,L3,1
3,16,1,hybride,L3,0
5,21,5,distanciel,L3,0
5,12,4,hybride,L3,1
5,21,5,présentiel,L1,1
4,20,4,présentiel,L3,0
4,24,4,distanciel,L3,0
4,12,3,hybride,L1,1
2,11,3,présentiel,L2,1
5,16,5,présentiel,L1,1
5,10,4,présentiel,L3,1
3,9,3,présentiel,L3,1
5,23,5,distanciel,L1,0
2,11,1,hybride,L1,1
5,12,4,présentiel,L1,1
3,10,4,hybride,L2,1
3,16,4,distanciel,L1,1
4,10,3,présentiel,L2,1
3,16,4,présentiel,L1,1
2,18,2,hybride,L1,1
2,14,2,présentiel,L2,1
5,25,5,présentiel,L1,1
4,18,3,présentiel,L1,1
3,12,4,présentiel,L3,1
4,17,4,présentiel,L2,1
5,20,5,hybride,L2,0
1,16,1,distanciel,L2,0
2,19,1,distanciel,L3,0
3,9,3,présentiel,L2,1
3,25,2,présentiel,L1,0
4,11,4,présentiel,L1,1
2,11,1,présentiel,L3,1
3,21,3,présentiel,L2,0
3,11,2,hybride,L2,1
4,16,5,présentiel,L2,1
4,11,4,présentiel,L1,1
3,17,3,distanciel,L2,1
2,12,2,distanciel,L2,1
5,8,4,distanciel,L2,1
4,21,4,présentiel,L1,0
4,11,5,présentiel,L2,1
3,14,3,distanciel,L2,1
2,20,2,hybride,L3,0
3,23,3,présentiel,L3,0
3,21,4,hybride,L1,0
5,16,5,présentiel,L3,1
4,12,3,présentiel,L2,1
3,24,4,présentiel,L2,0
3,18,4,présentiel,L3,1
4,19,4,présentiel,L2,1
4,13,4,distanciel,L3,1
5,20,5,distanciel,L1,1
3,11,2,présentiel,L1,1
3,10,3,distanciel,L2,1
5,12,5,présentiel,L3,1
5,11,5,présentiel,L2,1
2,18,3,présentiel,L1,1
5,13,5,présentiel,L3,1
2,15,2,hybride,L3,1
3,13,4,présentiel,L1,1
4,11,4,présentiel,L3,1
4,10,5,distanciel,L2,1
5,31,5,distanciel,L2,1
3,10,3,hybride,L3,1
1,18,2,présentiel,L2,1
5,18,5,distanciel,L2,1
5,12,5,distanciel,L1,1
5,21,5,présentiel,L3,1
5,17,5,distanciel,L2,1
3,9,3,distanciel,L2,1
3,14,3,distanciel,L3,1
4,17,4,présentiel,L3,1
3,16,4,distanciel,L3,1
3,17,3,présentiel,L2,1
2,12,2,présentiel,L3,1
3,12,4,présentiel,L1,1
2,13,2,hybride,L1,1
3,9,3,hybride,L1,1
5,17,4,distanciel,L1,1
3,10,1,distanciel,L2,1
4,17,2,hybride,L3,1
3,28,3,distanciel,L3,0
3,9,2,distanciel,L1,1
2,13,4,présentiel,L2,1
2,16,1,présentiel,L1,1
3,17,3,distanciel,L1,1
3,12,3,hybride,L3,1
2,12,1,présentiel,L1,1
5,12,5,présentiel,L1,1
3,12,2,distanciel,L2,1
4,12,4,hybride,L1,1
4,9,4,distanciel,L1,1
4,12,4,présentiel,L2,1
3,17,2,présentiel,L3,1
5,12,4,distanciel,L2,1
3,19,4,présentiel,L1,0
4,16,5,présentiel,L3,1
2,21,3,distanciel,L3,0
2,10,1,présentiel,L3,1
4,14,3,hybride,L2,1
2,15,3,distanciel,L2,1
2,28,2,distanciel,L1,0
3,12,4,présentiel,L3,1
1,16,2,présentiel,L1,0
4,11,5,distanciel,L3,1
4,24,4,présentiel,L1,1
4,18,3,présentiel,L3,1
5,18,5,présentiel,L1,1
1,18,1,présentiel,L1,0
3,30,2,distanciel,L2,0
4,17,3,hybride,L1,1
2,12,1,hybride,L2,0
3,16,3,présentiel,L2,1
3,16,3,distanciel,L1,1
3,18,3,présentiel,L2,1
5,17,5,présentiel,L1,1
3,28,2,présentiel,L2,0
3,10,3,distanciel,L1,1
4,16,5,présentiel,L3,1
4,27,4,présentiel,L3,0
4,10,4,distanciel,L1,1
1,19,2,présentiel,L2,0
5,13,5,distanciel,L1,1
2,18,1,présentiel,L1,1
5,12,5,présentiel,L1,1
5,27,5,hybride,L3,0
3,14,1,présentiel,L2,1
3,14,3,distanciel,L1,1
2,21,3,présentiel,L2,0
4,17,5,hybride,L1,1
1,12,1,présentiel,L2,1
2,15,2,présentiel,L1,1
3,10,3,présentiel,L2,1
2,18,2,hybride,L1,0
3,10,4,distanciel,L3,1
2,13,3,présentiel,L1,1
4,22,4,distanciel,L2,0
2,9,3,présentiel,L3,1
5,18,4,distanciel,L1,1
5,17,5,distanciel,L2,1
1,29,1,distanciel,L1,0
5,19,5,présentiel,L3,1
3,13,1,présentiel,L1,1
3,25,1,présentiel,L2,0
5,15,5,présentiel,L2,1
3,11,3,présentiel,L2,1
4,19,5,hybride,L1,1
2,23,3,distanciel,L1,0
5,11,5,hybride,L3,1
4,26,3,présentiel,L1,0
5,23,5,distanciel,L2,1
2,25,1,présentiel,L1,0
3,25,1,hybride,L2,0
5,11,4,distanciel,L1,1
2,16,1,distanciel,L3,0
5,19,5,présentiel,L1,1
2,13,2,hybride,L1,1
3,11,3,présentiel,L2,1
4,22,4,distanciel,L2,0
2,20,2,distanciel,L3,0
2,10,2,distanciel,L2,1
3,19,4,distanciel,L2,0
5,19,5,présentiel,L2,1
4,14,4,présentiel,L2,1
1,9,1,présentiel,L2,1
4,35,4,présentiel,L1,0
2,18,1,présentiel,L2,1
4,9,5,distanciel,L1,1
4,9,3,présentiel,L2,1
4,23,4,distanciel,L2,0
4,16,4,hybride,L3,1
3,14,3,distanciel,L3,1
5,12,5,distanciel,L2,1
3,14,4,présentiel,L1,1
4,9,5,distanciel,L3,1
4,28,3,distanciel,L2,0
5,18,5,présentiel,L2,1
3,13,3,présentiel,L2,1
1,13,1,présentiel,L1,1
5,30,5,présentiel,L1,1
5,18,5,présentiel,L1,1
4,11,4,présentiel,L2,1
3,15,4,présentiel,L2,1
3,14,3,distanciel,L1,1
2,12,2,distanciel,L2,1
4,14,3,distanciel,L3,1
4,13,4,présentiel,L3,1
4,12,4,distanciel,L3,1
4,16,3,présentiel,L2,1
4,17,3,présentiel,L1,1
2,14,4,présentiel,L2,1
4,35,3,présentiel,L3,0
3,17,4,distanciel,L2,1
4,13,5,présentiel,L2,1
5,9,5,présentiel,L2,1
3,20,5,distanciel,L3,0
5,16,5,présentiel,L3,1
4,12,3,présentiel,L1,1
5,30,4,présentiel,L1,0
4,12,3,présentiel,L2,1
4,35,3,distanciel,L3,0
3,13,3,présentiel,L3,1
4,20,3,présentiel,L2,0
4,21,3,distanciel,L3,0
3,23,4,présentiel,L2,0
1,24,2,présentiel,L1,0
3,14,4,hybride,L3,1
2,15,1,présentiel,L1,1
4,20,4,distanciel,L1,0
4,10,5,distanciel,L2,1
3,17,3,hybride,L1,1
4,20,4,distanciel,L3,0
4,14,4,distanciel,L2,1
5,17,5,présentiel,L3,1
4,24,4,distanciel,L1,0
5,11,5,distanciel,L1,1
3,22,4,présentiel,L3,0
3,11,3,distanciel,L3,1
2,16,1,hybride,L2,0
4,16,4,présentiel,L2,1
4,18,5,distanciel,L1,1
5,20,4,présentiel,L3,0
3,13,2,présentiel,L3,1
4,15,4,présentiel,L1,1
4,25,3,présentiel,L1,0
3,12,4,distanciel,L2,1
3,16,3,présentiel,L2,1
3,10,3,présentiel,L3,1
3,9,3,présentiel,L3,1
5,12,5,présentiel,L1,1
2,17,2,distanciel,L1,1
3,11,3,présentiel,L3,1
3,15,3,hybride,L3,1
2,11,1,distanciel,L1,1
4,15,2,distanciel,L2,1
2,14,1,présentiel,L1,1
3,13,2,présentiel,L3,1
3,23,2,présentiel,L3,0
4,14,4,distanciel,L2,1
2,13,3,présentiel,L1,1
2,27,3,hybride,L1,0
3,13,4,présentiel,L2,1
3,10,3,présentiel,L1,1
3,11,3,hybride,L1,1
5,15,5,présentiel,L1,1
4,24,3,hybride,L3,0
4,9,4,hybride,L2,1
3,12,1,hybride,L2,1
4,11,2,présentiel,L3,1
4,20,4,présentiel,L1,1
2,27,2,distanciel,L1,0
5,12,4,distanciel,L1,1
4,21,4,distanciel,L1,0
3,19,2,distanciel,L1,0
5,20,5,distanciel,L1,0
4,21,4,présentiel,L2,0
5,18,5,présentiel,L1,1
5,10,5,présentiel,L1,1
4,12,5,distanciel,L3,1
4,13,3,distanciel,L2,1
2,17,2,hybride,L3,0
4,22,5,distanciel,L2,0
1,18,1,présentiel,L2,0
5,17,4,hybride,L3,1
4,13,5,distanciel,L1,1
4,17,4,présentiel,L1,1
3,12,2,présentiel,L1,1
3,12,3,présentiel,L2,1
5,29,4,présentiel,L1,0
5,20,4,distanciel,L3,1
2,10,2,hybride,L2,1
2,16,2,distanciel,L1,1
5,9,5,distanciel,L1,1
5,17,5,hybride,L2,1
3,11,3,distanciel,L1,1
4,12,4,présentiel,L1,1
2,14,2,présentiel,L3,1
5,9,5,hybride,L3,1
4,11,5,présentiel,L3,1
2,25,1,distanciel,L3,0
4,20,3,présentiel,L3,0
5,20,5,présentiel,L3,0
3,10,4,présentiel,L3,1
3,9,2,présentiel,L2,1
5,21,4,distanciel,L1,1
5,24,5,présentiel,L2,1
4,17,4,distanciel,L2,1
4,14,3,distanciel,L2,1
3,16,2,hybride,L2,1
3,9,2,présentiel,L1,1
3,26,3,hybride,L1,0
3,16,3,distanciel,L3,1
2,21,2,distanciel,L2,0
3,14,3,distanciel,L2,1
5,13,5,hybride,L3,1
1,18,1,présentiel,L2,0
3,15,3,présentiel,L1,1
3,12,3,distanciel,L3,1
3,15,4,distanciel,L3,1
4,9,3,hybride,L3,1
5,14,5,distanciel,L3,1
2,24,2,présentiel,L2,0
3,26,2,hybride,L1,0
4,9,2,hybride,L2,1
5,16,4,présentiel,L2,1
5,13,4,hybride,L3,1
1,12,1,distanciel,L1,1
3,12,3,présentiel,L1,1
2,9,3,distanciel,L1,1
3,16,2,hybride,L1,1
3,23,4,distanciel,L1,0
2,11,3,présentiel,L2,1
4,14,3,présentiel,L1,1
4,9,4,présentiel,L2,1
3,14,3,présentiel,L2,1
3,22,3,distanciel,L2,0
5,27,5,distanciel,L1,0
1,13,1,distanciel,L2,1
1,14,1,présentiel,L2,1
4,19,5,distanciel,L1,0
5,17,5,distanciel,L1,1
3,16,3,présentiel,L2,1
3,17,1,présentiel,L2,1
4,16,4,présentiel,L3,1
5,17,5,présentiel,L2,1
2,11,3,hybride,L3,1
5,24,5,présentiel,L2,1
4,20,4,distanciel,L3,0
2,22,2,présentiel,L2,0
5,21,4,distanciel,L1,0
5,16,4,présentiel,L2,1
3,19,3,présentiel,L1,0
3,23,2,distanciel,L2,0
3,12,3,hybride,L1,1
4,12,3,distanciel,L1,1
5,30,4,présentiel,L1,1
4,11,4,présentiel,L1,1
4,24,5,hybride,L1,1
4,17,3,hybride,L1,1
2,16,2,distanciel,L3,0
3,13,4,présentiel,L2,1
3,13,4,présentiel,L2,1
4,14,3,distanciel,L1,1
3,17,3,hybride,L1,1
3,18,2,présentiel,L1,1
3,11,2,présentiel,L1,1
5,10,5,distanciel,L1,1
3,12,4,hybride,L1,1
5,23,5,présentiel,L3,0
3,19,2,présentiel,L3,0
4,14,4,présentiel,L3,1
5,20,5,présentiel,L3,0
4,10,3,présentiel,L3,1
4,12,3,hybride,L3,1
4,12,4,hybride,L2,1
3,15,3,présentiel,L3,1
4,16,3,distanciel,L3,1
3,11,3,distanciel,L1,1
1,15,1,présentiel,L3,1
4,28,3,présentiel,L1,0
4,19,3,distanciel,L1,0
5,12,5,présentiel,L2,1
1,15,1,présentiel,L3,1
3,10,3,distanciel,L3,1
3,17,4,distanciel,L1,1
5,15,5,distanciel,L3,1
5,19,5,présentiel,L2,1
3,17,3,distanciel,L2,1
2,16,1,distanciel,L1,0
2,16,2,distanciel,L1,1
2,17,1,distanciel,L3,0
5,11,5,présentiel,L1,1
3,9,3,présentiel,L1,1
5,18,5,distanciel,L1,1
2,21,3,présentiel,L3,0
5,12,5,présentiel,L3,1
3,19,5,distanciel,L1,0
4,15,2,distanciel,L1,1
4,31,3,distanciel,L1,0
4,21,4,présentiel,L2,0
4,12,4,distanciel,L3,1
4,10,4,hybride,L3,1
4,13,4,distanciel,L2,1
3,19,4,hybride,L1,0
4,21,3,distanciel,L3,0
4,11,4,hybride,L2,1
5,13,4,hybride,L3,1
1,11,1,distanciel,L2,1
3,13,3,présentiel,L2,1
4,9,3,hybride,L2,1
2,11,1,distanciel,L1,1
5,13,4,distanciel,L1,1
3,17,4,présentiel,L3,1
3,14,4,distanciel,L1,1
5,20,4,présentiel,L1,1
5,11,5,présentiel,L3,1
4,19,4,hybride,L2,0
3,16,3,distanciel,L2,1
4,23,5,présentiel,L1,0
4,13,4,présentiel,L2,1
1,16,1,présentiel,L1,0
4,15,5,distanciel,L1,1
2,10,2,hybride,L1,1
4,12,4,distanciel,L2,1
4,18,4,présentiel,L3,1
3,12,3,présentiel,L1,1
3,11,3,présentiel,L3,1
4,10,3,distanciel,L3,1
2,16,1,hybride,L3,1
1,15,2,présentiel,L3,1
5,27,5,distanciel,L1,1
5,14,4,présentiel,L1,1
1,26,2,présentiel,L1,0
4,17,4,présentiel,L2,1
3,15,2,distanciel,L1,1
3,18,3,distanciel,L3,1
2,14,3,distanciel,L1,1
3,20,3,présentiel,L1,0
5,13,5,distanciel,L2,1
2,17,1,présentiel,L2,0
5,16,5,distanciel,L2,1
3,35,4,présentiel,L1,0
4,12,4,distanciel,L2,1
4,12,4,distanciel,L1,1
2,22,2,présentiel,L1,0
4,12,4,hybride,L3,1
5,16,5,distanciel,L1,1
1,9,2,distanciel,L3,0
5,19,5,hybride,L2,0
4,13,3,distanciel,L3,1
1,14,1,distanciel,L3,0
1,12,1,distanciel,L3,1
3,10,2,hybride,L1,1
3,10,3,présentiel,L3,1
5,15,5,présentiel,L2,1
5,27,5,hybride,L2,1
5,11,5,distanciel,L1,1
3,18,3,présentiel,L2,1
3,10,4,présentiel,L1,1
4,20,4,distanciel,L1,0
4,16,4,hybride,L2,1
2,16,1,distanciel,L1,0
2,14,2,distanciel,L2,1
2,13,1,présentiel,L3,1
3,15,3,distanciel,L1,1
4,15,5,hybride,L3,1
3,12,3,hybride,L1,1
5,16,5,hybride,L1,1
3,19,3,distanciel,L1,0
1,15,1,présentiel,L2,1
1,14,1,distanciel,L2,0
3,10,3,distanciel,L2,1
1,14,1,hybride,L1,1
4,11,3,hybride,L3,1
4,11,5,présentiel,L1,1
5,11,4,distanciel,L1,1
3,15,4,distanciel,L2,1
5,19,5,hybride,L3,1
3,12,2,distanciel,L1,1
1,24,1,hybride,L2,0
4,11,4,distanciel,L2,1
3,11,3,distanciel,L3,1
3,12,2,hybride,L2,1
4,12,3,présentiel,L1,1
3,9,5,distanciel,L3,1
5,12,5,présentiel,L3,1
4,24,5,présentiel,L3,1
2,18,1,distanciel,L1,1
4,27,4,présentiel,L3,0
1,12,2,distanciel,L3,1
4,19,4,présentiel,L3,0
4,11,4,présentiel,L1,1
5,11,5,présentiel,L3,1
5,11,5,hybride,L1,1
4,16,4,présentiel,L3,1
3,9,3,présentiel,L2,1
5,11,5,présentiel,L3,1
3,12,3,distanciel,L1,1
3,13,4,présentiel,L2,1
1,22,1,hybride,L3,0
5,12,5,présentiel,L2,1
3,12,3,présentiel,L2,1
3,12,4,présentiel,L3,1
5,13,5,hybride,L3,1
1,18,1,présentiel,L2,0
3,15,2,hybride,L1,1
2,10,1,présentiel,L1,1
2,17,2,présentiel,L3,0
4,10,4,hybride,L2,1
3,21,3,présentiel,L1,0
5,12,5,distanciel,L3,1
3,20,3,hybride,L3,0
2,13,2,présentiel,L1,1
4,12,2,hybride,L1,1
3,11,4,distanciel,L2,1
4,10,4,distanciel,L2,1
2,22,1,hybride,L2,0
5,12,5,hybride,L2,1
4,12,4,hybride,L1,1
3,27,3,distanciel,L3,0
4,18,4,présentiel,L1,1
3,21,2,distanciel,L1,0
5,8,5,distanciel,L1,1
4,10,4,présentiel,L2,1
2,14,2,hybride,L2,1
4,16,4,présentiel,L3,1
3,23,2,présentiel,L3,0
2,12,2,présentiel,L2,1
4,27,4,présentiel,L3,1
2,13,3,distanciel,L2,1
3,19,5,distanciel,L2,0
2,17,3,présentiel,L1,1
5,14,5,distanciel,L1,1
3,19,5,distanciel,L1,0
3,15,3,présentiel,L2,1
3,16,3,distanciel,L2,1
2,23,1,distanciel,L1,0
5,26,5,présentiel,L2,1
5,16,5,présentiel,L1,1
